epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,6528.03,0.68287,0.40004,0.98567,0.95041,0.92422,0.96341,0.78428,0.9147,0.39915,1.06067,0.000184055,0.000184055,0.000184055
178,6564.49,0.66774,0.39722,0.98995,0.9429,0.93332,0.96364,0.78472,0.91488,0.3991,1.06433,0.000176982,0.000176982,0.000176982
179,6601.12,0.67439,0.39404,0.98274,0.94253,0.93514,0.96386,0.78524,0.91392,0.39903,1.06322,0.000169908,0.000169908,0.000169908
180,6637.96,0.65997,0.39601,0.97741,0.94764,0.93024,0.96431,0.78515,0.91178,0.39911,1.06347,0.000162835,0.000162835,0.000162835
181,6674.38,0.6616,0.39179,0.98502,0.95196,0.92249,0.96366,0.78361,0.912,0.39883,1.06597,0.000155761,0.000155761,0.000155761
182,6711.07,0.67031,0.3904,0.98457,0.9425,0.92907,0.96339,0.78381,0.91392,0.39773,1.06777,0.000148687,0.000148687,0.000148687
183,6747.75,0.65903,0.38965,0.98244,0.94699,0.92997,0.96489,0.78383,0.9126,0.39584,1.0671,0.000141614,0.000141614,0.000141614
184,6784.2,0.66005,0.38863,0.98051,0.94427,0.93253,0.96461,0.78521,0.91147,0.39615,1.06627,0.00013454,0.00013454,0.00013454
185,6821,0.66249,0.38749,0.97981,0.9559,0.92212,0.964,0.78486,0.91292,0.39637,1.06546,0.000127467,0.000127467,0.000127467
186,6857.96,0.66319,0.39013,0.98263,0.95114,0.92645,0.9642,0.7848,0.91204,0.39803,1.06287,0.000120393,0.000120393,0.000120393
187,6894.74,0.66164,0.392,0.97748,0.95673,0.92003,0.96456,0.78714,0.91082,0.39864,1.061,0.00011332,0.00011332,0.00011332
188,6931.05,0.64732,0.38446,0.9761,0.94795,0.92841,0.96462,0.78537,0.91155,0.39938,1.06083,0.000106246,0.000106246,0.000106246
189,6967.61,0.66122,0.38625,0.98123,0.95692,0.92126,0.96461,0.7855,0.9115,0.39778,1.05945,9.91726e-05,9.91726e-05,9.91726e-05
190,7004.22,0.63591,0.37277,0.96999,0.95782,0.91856,0.96422,0.7867,0.91123,0.39773,1.0592,9.20991e-05,9.20991e-05,9.20991e-05
191,7043.87,0.62355,0.31846,0.94532,0.95344,0.92111,0.96399,0.78575,0.91178,0.3943,1.06198,8.50255e-05,8.50255e-05,8.50255e-05
192,7079.9,0.59035,0.29862,0.92753,0.94752,0.92755,0.9634,0.78394,0.91557,0.39685,1.06634,7.7952e-05,7.7952e-05,7.7952e-05
193,7116.28,0.58281,0.29537,0.92564,0.9509,0.92527,0.96381,0.7844,0.9175,0.39736,1.06781,7.08784e-05,7.08784e-05,7.08784e-05
194,7152.31,0.59158,0.29166,0.92708,0.95012,0.92852,0.96401,0.78417,0.91799,0.39849,1.06909,6.38049e-05,6.38049e-05,6.38049e-05
195,7188.14,0.58326,0.29156,0.93019,0.9504,0.92832,0.96411,0.78411,0.91725,0.39903,1.06917,5.67313e-05,5.67313e-05,5.67313e-05
196,7224.01,0.59092,0.28656,0.9236,0.9502,0.92934,0.96462,0.7842,0.91708,0.39866,1.06895,4.96578e-05,4.96578e-05,4.96578e-05
197,7259.92,0.57745,0.28585,0.92221,0.95025,0.93082,0.96493,0.78376,0.9176,0.40065,1.07008,4.25842e-05,4.25842e-05,4.25842e-05
198,7295.91,0.58428,0.28506,0.92491,0.95159,0.92952,0.96501,0.78518,0.91669,0.39974,1.0697,3.55107e-05,3.55107e-05,3.55107e-05
199,7331.74,0.57225,0.27985,0.92338,0.94957,0.93046,0.96542,0.78556,0.9167,0.40006,1.06948,2.84371e-05,2.84371e-05,2.84371e-05
200,7368.13,0.58166,0.28013,0.93031,0.94883,0.93038,0.96551,0.78572,0.91654,0.39944,1.06978,2.13636e-05,2.13636e-05,2.13636e-05
