epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1556.6,1.00579,0.69667,1.15032,0.90611,0.86431,0.92978,0.69675,1.06289,0.58138,1.13616,0.00113898,0.00113898,0.00113898
43,1593.23,1.02433,0.70501,1.16925,0.91146,0.90918,0.94531,0.71964,1.01191,0.51135,1.09158,0.00113191,0.00113191,0.00113191
44,1630.43,1.01092,0.68002,1.14398,0.92078,0.86352,0.93404,0.71106,1.01846,0.54802,1.0936,0.00112484,0.00112484,0.00112484
45,1667.42,1.01668,0.69539,1.14971,0.90762,0.89672,0.93724,0.70641,1.02296,0.53008,1.10144,0.00111776,0.00111776,0.00111776
46,1704.45,0.99708,0.68041,1.14088,0.91971,0.90173,0.94103,0.71724,1.00832,0.52407,1.09425,0.00111069,0.00111069,0.00111069
47,1741.32,1.022,0.68834,1.15528,0.91268,0.88079,0.93934,0.70234,1.03923,0.55591,1.11719,0.00110362,0.00110362,0.00110362
48,1777.76,0.98762,0.66171,1.13955,0.91686,0.90814,0.95,0.72267,0.99223,0.50589,1.08199,0.00109654,0.00109654,0.00109654
49,1814.54,0.98364,0.66023,1.13259,0.90792,0.9076,0.94458,0.71285,1.01589,0.52003,1.10237,0.00108947,0.00108947,0.00108947
50,1851.33,1.00615,0.68163,1.14169,0.91941,0.89057,0.94516,0.7187,1.00498,0.52363,1.10129,0.0010824,0.0010824,0.0010824
51,1888.45,0.99332,0.67411,1.1468,0.91904,0.90411,0.9484,0.73216,0.99231,0.50243,1.08033,0.00107532,0.00107532,0.00107532
52,1926.05,0.98214,0.65282,1.1313,0.92458,0.9049,0.94364,0.7304,0.98673,0.49851,1.07282,0.00106825,0.00106825,0.00106825
53,1962.95,0.9927,0.65783,1.14253,0.92837,0.90019,0.94739,0.7224,1.00046,0.50701,1.08578,0.00106118,0.00106118,0.00106118
54,1999.96,0.99926,0.66199,1.14107,0.90262,0.90662,0.9422,0.72479,0.99498,0.5215,1.0739,0.0010541,0.0010541,0.0010541
55,2036.92,0.94987,0.63544,1.12056,0.92835,0.90014,0.95136,0.73499,0.99131,0.49475,1.08426,0.00104703,0.00104703,0.00104703
56,2074.75,0.97721,0.66003,1.13508,0.91662,0.91502,0.95049,0.73759,0.97379,0.48842,1.0641,0.00103995,0.00103995,0.00103995
57,2111.97,0.96376,0.63548,1.12744,0.92587,0.92132,0.95304,0.74003,0.97985,0.4808,1.07776,0.00103288,0.00103288,0.00103288
58,2149.26,0.94391,0.62856,1.11731,0.92331,0.9041,0.94415,0.73312,0.97542,0.4934,1.07695,0.00102581,0.00102581,0.00102581
59,2186.37,0.94924,0.62973,1.10933,0.9203,0.92681,0.95499,0.74325,0.98866,0.47433,1.07895,0.00101873,0.00101873,0.00101873
60,2223.62,0.95763,0.62165,1.12017,0.9341,0.91075,0.95097,0.74288,0.98091,0.47785,1.07145,0.00101166,0.00101166,0.00101166
61,2260.8,0.9713,0.62766,1.12236,0.9277,0.91733,0.95212,0.73915,0.9879,0.4819,1.08087,0.00100459,0.00100459,0.00100459
62,2298.22,0.95129,0.6265,1.11742,0.92081,0.92411,0.94749,0.74154,0.97415,0.47833,1.0717,0.000997513,0.000997513,0.000997513
63,2335.2,0.94038,0.61421,1.11841,0.92784,0.91125,0.9525,0.74012,0.97663,0.47772,1.08163,0.00099044,0.00099044,0.00099044
64,2372.34,0.95267,0.62171,1.11593,0.92342,0.91087,0.95184,0.73111,0.9829,0.481,1.07926,0.000983366,0.000983366,0.000983366
65,2409.29,0.93651,0.60985,1.11595,0.92635,0.92111,0.95528,0.7467,0.97832,0.46579,1.07512,0.000976293,0.000976293,0.000976293
66,2446.53,0.92531,0.59768,1.10604,0.92923,0.91449,0.95462,0.74643,0.96089,0.47708,1.06484,0.000969219,0.000969219,0.000969219
67,2483.63,0.92136,0.60435,1.09941,0.92665,0.9057,0.94865,0.74092,0.96325,0.47368,1.07186,0.000962146,0.000962146,0.000962146
68,2520.56,0.93163,0.60406,1.11106,0.92794,0.92053,0.95817,0.74589,0.96953,0.46767,1.07448,0.000955072,0.000955072,0.000955072
69,2557.57,0.91485,0.58676,1.0963,0.93063,0.92027,0.95678,0.74045,0.96762,0.46338,1.06272,0.000947999,0.000947999,0.000947999
70,2594.42,0.91629,0.59169,1.10055,0.93738,0.90974,0.95424,0.74875,0.96444,0.4558,1.05676,0.000940925,0.000940925,0.000940925
71,2631.15,0.90912,0.58698,1.10313,0.94282,0.91017,0.9549,0.74882,0.96226,0.45906,1.07067,0.000933851,0.000933851,0.000933851
72,2668.11,0.89062,0.57401,1.0952,0.93093,0.91887,0.95316,0.74374,0.95853,0.46018,1.06219,0.000926778,0.000926778,0.000926778
73,2704.58,0.90106,0.58164,1.09258,0.91498,0.92185,0.95031,0.73946,0.96656,0.47164,1.0687,0.000919704,0.000919704,0.000919704
74,2741.51,0.89938,0.57849,1.08954,0.93938,0.91313,0.95692,0.75128,0.9522,0.45894,1.0623,0.000912631,0.000912631,0.000912631
75,2778.54,0.89984,0.58083,1.08428,0.93314,0.92357,0.95805,0.75492,0.95072,0.45542,1.05977,0.000905557,0.000905557,0.000905557
76,2815.34,0.88667,0.56389,1.08394,0.92301,0.93105,0.95276,0.75358,0.95645,0.46121,1.06595,0.000898484,0.000898484,0.000898484
77,2852.09,0.89993,0.57625,1.09093,0.94274,0.90002,0.94788,0.74757,0.95814,0.46631,1.06287,0.00089141,0.00089141,0.00089141
78,2889.11,0.89769,0.56706,1.08908,0.92738,0.91818,0.95471,0.75242,0.94955,0.45785,1.05799,0.000884337,0.000884337,0.000884337
79,2926.23,0.8922,0.56592,1.08418,0.92533,0.9173,0.95482,0.74776,0.95411,0.46211,1.06206,0.000877263,0.000877263,0.000877263
80,2963.03,0.89171,0.55999,1.08994,0.92867,0.9286,0.95798,0.75294,0.96062,0.4512,1.07687,0.00087019,0.00087019,0.00087019
81,3000.2,0.89059,0.57204,1.08723,0.92342,0.93095,0.95664,0.75521,0.94643,0.44637,1.06433,0.000863116,0.000863116,0.000863116
82,3037.3,0.88701,0.57069,1.08421,0.93747,0.9262,0.95615,0.75396,0.95638,0.45387,1.06094,0.000856042,0.000856042,0.000856042
83,3074.2,0.88009,0.5598,1.07401,0.93335,0.93386,0.95875,0.75377,0.96331,0.44651,1.06006,0.000848969,0.000848969,0.000848969
84,3111.08,0.86998,0.5584,1.07862,0.93953,0.92839,0.96056,0.75883,0.94023,0.43927,1.06034,0.000841895,0.000841895,0.000841895
85,3148.12,0.86115,0.54602,1.06771,0.92639,0.93899,0.96004,0.75712,0.954,0.4396,1.06193,0.000834822,0.000834822,0.000834822
86,3185.33,0.86308,0.54994,1.07657,0.94983,0.91728,0.95692,0.76027,0.93937,0.44125,1.05987,0.000827748,0.000827748,0.000827748
87,3222.1,0.85326,0.53624,1.06415,0.92117,0.93564,0.96046,0.76142,0.94048,0.44067,1.05432,0.000820675,0.000820675,0.000820675
88,3259.23,0.86742,0.55415,1.07585,0.9364,0.92013,0.95718,0.76195,0.9468,0.43995,1.05776,0.000813601,0.000813601,0.000813601
89,3295.9,0.85527,0.54291,1.06605,0.93108,0.93619,0.96071,0.76492,0.94375,0.43107,1.04884,0.000806528,0.000806528,0.000806528
90,3332.79,0.87622,0.54782,1.0704,0.93663,0.92876,0.95659,0.76115,0.95496,0.44581,1.05465,0.000799454,0.000799454,0.000799454
91,3369.49,0.85726,0.53968,1.07267,0.94005,0.91171,0.95545,0.75521,0.95084,0.44542,1.06786,0.00079238,0.00079238,0.00079238
92,3406.16,0.8563,0.53787,1.06784,0.93484,0.92992,0.95789,0.76013,0.93927,0.43902,1.05133,0.000785307,0.000785307,0.000785307
93,3443.09,0.84017,0.52696,1.05978,0.92651,0.92992,0.95704,0.75672,0.94494,0.44167,1.05618,0.000778233,0.000778233,0.000778233
94,3479.72,0.8516,0.53799,1.06294,0.92508,0.93479,0.95659,0.75273,0.94299,0.43779,1.05564,0.00077116,0.00077116,0.00077116
95,3516.62,0.85246,0.52686,1.06433,0.93125,0.93558,0.95947,0.76471,0.93293,0.43305,1.0482,0.000764086,0.000764086,0.000764086
96,3553.31,0.84868,0.53672,1.07041,0.93158,0.92429,0.95315,0.75869,0.94609,0.4395,1.06539,0.000757013,0.000757013,0.000757013
97,3590.14,0.8421,0.52264,1.07125,0.94386,0.91288,0.95722,0.76505,0.93972,0.43496,1.05665,0.000749939,0.000749939,0.000749939
98,3627.18,0.83244,0.51964,1.05742,0.94338,0.91404,0.95635,0.76167,0.93791,0.44004,1.05816,0.000742866,0.000742866,0.000742866
99,3663.91,0.82689,0.52003,1.0556,0.94054,0.91796,0.95599,0.75897,0.93119,0.43625,1.055,0.000735792,0.000735792,0.000735792
100,3700.68,0.84154,0.52072,1.0602,0.94201,0.91212,0.95542,0.75667,0.93933,0.4362,1.05599,0.000728719,0.000728719,0.000728719
101,3737.18,0.82185,0.52303,1.05386,0.93077,0.93693,0.96039,0.77121,0.9358,0.42644,1.04661,0.000721645,0.000721645,0.000721645
102,3774.37,0.83542,0.51976,1.05905,0.95374,0.91893,0.95955,0.76763,0.93309,0.42207,1.04776,0.000714571,0.000714571,0.000714571
103,3811.26,0.82669,0.51275,1.05265,0.94809,0.92257,0.95918,0.76627,0.9367,0.42558,1.05345,0.000707498,0.000707498,0.000707498
104,3848.21,0.83584,0.5164,1.0518,0.93715,0.92969,0.95932,0.76488,0.93879,0.43158,1.05345,0.000700424,0.000700424,0.000700424
105,3885.12,0.83204,0.51076,1.0496,0.9327,0.9359,0.96131,0.7698,0.93215,0.42933,1.05366,0.000693351,0.000693351,0.000693351
106,3921.97,0.81687,0.51041,1.05304,0.94015,0.93207,0.96099,0.76931,0.92902,0.42168,1.0574,0.000686277,0.000686277,0.000686277
107,3958.7,0.80808,0.50091,1.04387,0.92324,0.94702,0.96084,0.7714,0.92911,0.41973,1.05343,0.000679204,0.000679204,0.000679204
108,3995.52,0.82392,0.50725,1.04787,0.93124,0.91798,0.95813,0.7638,0.94118,0.43096,1.06183,0.00067213,0.00067213,0.00067213
109,4032.24,0.80797,0.49429,1.05095,0.93379,0.92572,0.96033,0.76899,0.93566,0.42937,1.06071,0.000665057,0.000665057,0.000665057
110,4069.04,0.82008,0.50359,1.05041,0.94852,0.92209,0.96163,0.77253,0.92937,0.41917,1.05605,0.000657983,0.000657983,0.000657983
111,4106.11,0.8006,0.49187,1.04352,0.93198,0.93788,0.95974,0.76735,0.94065,0.42104,1.0613,0.000650909,0.000650909,0.000650909
112,4143.03,0.80421,0.4943,1.04401,0.94604,0.92903,0.96451,0.77416,0.93536,0.41762,1.0508,0.000643836,0.000643836,0.000643836
113,4180.03,0.8043,0.4988,1.04708,0.94476,0.92299,0.96231,0.76792,0.93126,0.41667,1.05418,0.000636762,0.000636762,0.000636762
114,4216.86,0.79828,0.487,1.0435,0.93408,0.93085,0.96061,0.77084,0.93046,0.41744,1.05313,0.000629689,0.000629689,0.000629689
115,4253.86,0.80413,0.4873,1.03695,0.94373,0.92455,0.96266,0.77424,0.93467,0.41807,1.04795,0.000622615,0.000622615,0.000622615
116,4291.04,0.7914,0.47586,1.03363,0.93211,0.94082,0.9629,0.77185,0.92823,0.41537,1.04467,0.000615542,0.000615542,0.000615542
117,4327.52,0.78477,0.48588,1.03056,0.93995,0.93761,0.96291,0.77469,0.92239,0.41591,1.04442,0.000608468,0.000608468,0.000608468
118,4364.43,0.79199,0.47865,1.03782,0.94356,0.92514,0.95889,0.77083,0.92464,0.41674,1.04889,0.000601395,0.000601395,0.000601395
119,4401.48,0.78939,0.4834,1.02989,0.94567,0.9222,0.96246,0.77351,0.92227,0.4125,1.04937,0.000594321,0.000594321,0.000594321
120,4438.18,0.7989,0.48407,1.03056,0.95225,0.92268,0.96284,0.77452,0.92846,0.41338,1.0488,0.000587248,0.000587248,0.000587248
121,4475.1,0.79387,0.4835,1.03349,0.94349,0.93069,0.96082,0.77207,0.93156,0.41425,1.05379,0.000580174,0.000580174,0.000580174
122,4511.97,0.79588,0.48469,1.03872,0.9436,0.9308,0.96031,0.77183,0.92628,0.41374,1.05339,0.0005731,0.0005731,0.0005731
123,4549.16,0.77236,0.46692,1.0273,0.93078,0.94342,0.96005,0.7728,0.92723,0.41609,1.04965,0.000566027,0.000566027,0.000566027
124,4585.95,0.77921,0.47816,1.03002,0.94208,0.92302,0.95789,0.7671,0.92875,0.4105,1.05206,0.000558953,0.000558953,0.000558953
125,4622.9,0.77909,0.47202,1.02871,0.94367,0.93058,0.96104,0.77286,0.9235,0.4099,1.05639,0.00055188,0.00055188,0.00055188
126,4659.83,0.77135,0.46627,1.02327,0.94657,0.92404,0.95941,0.77137,0.92533,0.41354,1.05877,0.000544806,0.000544806,0.000544806
127,4696.61,0.76691,0.47069,1.0286,0.94631,0.92399,0.95924,0.77114,0.9335,0.41355,1.06057,0.000537733,0.000537733,0.000537733
128,4733.55,0.76885,0.46173,1.02066,0.94644,0.93459,0.96206,0.77483,0.92661,0.41006,1.05519,0.000530659,0.000530659,0.000530659
129,4770.3,0.75716,0.4598,1.01883,0.94155,0.92924,0.96177,0.77261,0.92751,0.41461,1.05303,0.000523586,0.000523586,0.000523586
130,4807.1,0.76178,0.46146,1.02665,0.93468,0.93769,0.96041,0.77546,0.92535,0.41689,1.05606,0.000516512,0.000516512,0.000516512
131,4844.23,0.7527,0.45808,1.02595,0.93182,0.93796,0.96136,0.77284,0.92773,0.41436,1.05503,0.000509438,0.000509438,0.000509438
132,4881.11,0.77573,0.46491,1.02781,0.94875,0.93323,0.96217,0.77351,0.92722,0.41017,1.06059,0.000502365,0.000502365,0.000502365
133,4918.02,0.75386,0.45322,1.02063,0.9458,0.93196,0.9616,0.77462,0.91981,0.40437,1.0533,0.000495291,0.000495291,0.000495291
134,4954.79,0.74961,0.45046,1.01845,0.94778,0.93159,0.96357,0.77291,0.92786,0.4037,1.0532,0.000488218,0.000488218,0.000488218
135,4991.33,0.74398,0.44633,1.01558,0.95741,0.91819,0.96341,0.77362,0.92759,0.40718,1.0549,0.000481144,0.000481144,0.000481144
136,5028.17,0.75808,0.45777,1.01881,0.93527,0.94023,0.9614,0.77352,0.92326,0.40797,1.05268,0.000474071,0.000474071,0.000474071
137,5064.85,0.74309,0.4465,1.0118,0.93856,0.93977,0.96021,0.77624,0.92627,0.40821,1.05373,0.000466997,0.000466997,0.000466997
138,5101.34,0.73802,0.44402,1.01113,0.93342,0.94391,0.9625,0.77732,0.92593,0.40931,1.05629,0.000459924,0.000459924,0.000459924
